244;1;Красный шар / Le Ballon rouge;1956;;44;17
245;1;Бирманская арфа / Biruma no tategoto;1956;;56;161
246;5;Гигант / Giant;1956;;;104
247;5;Десять заповедей / The Ten Commandments;1956;;;268
248;3;Все, что дозволено небесам / All That Heaven Allows;1956;;;110
249;12;Запретная планета / Forbidden Planet;1956;;;309
250;12;Вторжение похитителей тел / Invasion of the Body Snatchers;1956;;;107
251;10;Искатели / The Searchers;1956;;;98
252;1;Земляничная поляна / Smultronstallet;1957;;53;138
253;1;Летят журавли;1957;;38;208
254;1;Ночи Кабирии / Le notti di Cabiria;1957;;21;301
255;4;Тропы славы / Paths of Glory;1957;;;276
256;7;Забавная мордашка / Funny Face;1957;;;275
257;10;Сорок ружей / Forty Guns;1957;;;280
258;1;Пепел и алмаз / Popiol i diament;1958;;33;21
259;1;Головокружение / Vertigo;1958;;39;19
260;2;Мы — парни из Ламбета / We Are the Lambert Boy;1958;;9;146
261;11;Печать зла / Touch of Evil;1958;;;223
262;1;Баллада о солдате;1959;;38;70
263;1;На последнем дыхании / A Bout de souffle;1959;;44;131
264;1;Хиросима моя любовь / Hiroshima mon Amour;1959;;44;12
265;1;Четыреста ударов / Les quatre cents coups;1959;;44;308
266;1;Карманник / Pickpocket;1959;;44;249
267;1;Тени / Shadows;1959;;39;96
268;1;Мир Апу / Apur Sansar;1959;;18;263
269;9;В джазе только девушки / Some Like It Hot;1959;;;37
270;5;Бен-Гур / Ben Hurr;1959;;;292
271;3;Имитация жизни / Imitation of Life;1959;;;110
272;10;Рио Браво / Rio Bravo;1959;;;65
273;10;Одинокий всадник / Ride Lonesome;1959;;;29
274;1;Приключение / L’Avventura;1960;;21;204
275;1;Служанка / Hanyo;1960;;55;154
276;1;Мать Иоанна от ангелов / Matka Joanna od aniolow;1960;;33;121
277;1;Рокко и его братья / Rocco e i suoi fratelli;1960;;21;182
278;1;Звезда за темной тучей / Meghe Dhaka Tara;1960;;18;244
279;1;Голый остров / Hadaka no shima;1960;;56;145
280;1;Подглядывающий / Peeping Tom;1960;;9;186
281;2;Позорный урожай / Harvest of Shame;1960;;39;312
282;2;Предварительные выборы / Primary;1960;;39;246
283;5;Спартак / Spartacus;1960;;;276
284;8;Психо / Psycho;1960;;;19
285;1;Аккаттоне / Accattone;1961;;21;236
286;1;В прошлом году в Мариенбаде / L’annee derniere a Marienbad;1961;;44;12
